          EPG-1La    EPG-1Lb    EPG-1Lc    EPG-1Ra    EPG-1Rb    EPG-1Rc    EPG-8La    EPG-8Lb    EPG-8Lc    EPG-2Ra    EPG-2Rb    EPG-2Rc    EPG-7La    EPG-7Lb    EPG-7Lc    EPG-3Ra    EPG-3Rb    EPG-3Rc    EPG-6La    EPG-6Lb    EPG-6Lc    EPG-4Ra    EPG-4Rb    EPG-4Rc    EPG-5La    EPG-5Lb    EPG-5Lc    EPG-5Ra    EPG-5Rb    EPG-5Rc    EPG-4La    EPG-4Lb    EPG-4Lc    EPG-6Ra    EPG-6Rb    EPG-6Rc    EPG-3La    EPG-3Lb    EPG-3Lc    EPG-7Ra    EPG-7Rb    EPG-7Rc    EPG-2La    EPG-2Lb    EPG-2Lc    EPG-8Ra    EPG-8Rb    EPG-8Rc    PEN1-2R    PEN1-3R    PEN1-4R    PEN1-5R    PEN1-6R    PEN1-7R    PEN1-8R    PEN1-9R    PEN1-9L    PEN1-8L    PEN1-7L    PEN1-6L    PEN1-5L    PEN1-4L    PEN1-3L    PEN1-2L    D7-8R1L9La D7-8R1L9Lb D7-8R1L9Lc D7-8R1L9Ld D7-1R8La   D7-1R8Lb   D7-1R8Lc   D7-1R8Ld   D7-2R7La   D7-2R7Lb   D7-2R7Lc   D7-2R7Ld   D7-3R6La   D7-3R6Lb   D7-3R6Lc   D7-3R6Ld   D7-4R5La   D7-4R5Lb   D7-4R5Lc   D7-4R5Ld   D7-5R4La   D7-5R4Lb   D7-5R4Lc   D7-5R4Ld   D7-6R3La   D7-6R3Lb   D7-6R3Lc   D7-6R3Ld   D7-7R2La   D7-7R2Lb   D7-7R2Lc   D7-7R2Ld   D7-8R1La   D7-8R1Lb   D7-8R1Lc   D7-8R1Ld   D7-9R1R8La D7-9R1R8Lb D7-9R1R8Lc D7-9R1R8Ld 
EPG-1La    0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 20.3964114 0          0          0          0          0          0          16.8545045 7.39490709 0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 
EPG-1Lb    29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 20.3964114 0          0          0          0          0          0          16.8545045 7.39490709 0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 
EPG-1Lc    29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 20.3964114 0          0          0          0          0          0          16.8545045 7.39490709 0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 
EPG-1Ra    12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          0          7.39490709 16.8545045 0          0          0          0          0          0          20.3964114 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          
EPG-1Rb    12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          0          7.39490709 16.8545045 0          0          0          0          0          0          20.3964114 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          
EPG-1Rc    12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          0          7.39490709 16.8545045 0          0          0          0          0          0          20.3964114 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          
EPG-8La    0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          0          20.3964114 7.39490709 0          0          0          0          0          16.8545045 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          
EPG-8Lb    0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          0          20.3964114 7.39490709 0          0          0          0          0          16.8545045 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          
EPG-8Lc    0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          0          20.3964114 7.39490709 0          0          0          0          0          16.8545045 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          
EPG-2Ra    0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-2Rb    0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 0          29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-2Rc    0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 29.4610053 29.4610053 0          12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          7.39490709 20.3964114 16.8545045 0          0          0          0          0          20.3964114 16.8545045 0          0          0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
EPG-7La    0          0          0          0          0          0          0          0          0          12.6489364 12.6489364 12.6489364 0          29.4610053 29.4610053 12.6489364 12.6489364 12.6489364 0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          16.8545045 20.3964114 0          0          0          0          0          16.8545045 20.3964114 7.39490709 0          0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 0          0          0          0          6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 6.01030021 
