          PEN1-5R    PEN1-5L    PEN1-6Ra   PEN1-6Rb   PEN1-6La   PEN1-6Lb   PEN1-7R    PEN1-7L    PEN2-5R    PEN2-5L    PEN2-6Ra   PEN2-6Rb   PEN2-6La   PEN2-6Lb   PEN2-7R    PEN2-7L    EPG-5Ra    EPG-5Rb    EPG-5Rc    EPG-5La    EPG-5Lb    EPG-5Lc    EPG-6Ra    EPG-6Rb    EPG-6La    EPG-6Lb    PEG-5R     PEG-5L     PEG-6R     PEG-6L     Ra         Rb         Rc         Rd         Re         Rf         Rg         
PEN1-5R    0          0          32.0       25.0       0          1.0        36.0       8.0        30.0       0          11.0       6.0        4.0        0          18.0       8.0        19.0       8.0        2.0        56.0       35.0       36.0       0          0          64.0       81.0       0          0          0          1.0        0          0          0          0          1.0        1.0        2.0        
PEN1-5L    0          0          4.0        1.0        17.0       14.0       12.0       37.0       0          26.0       0          1.0        5.0        12.0       10.0       13.0       16.0       20.0       45.0       8.0        8.0        17.0       77.0       59.0       0          0          0          0          5.0        0          5.0        3.0        0          0          1.0        3.0        1.0        
PEN1-6Ra   31.0       3.0        0          26.0       5.0        6.0        23.0       0          9.0        0          13.0       16.0       5.0        6.0        9.0        0          37.0       39.0       26.0       43.0       42.0       53.0       3.0        8.0        6.0        7.0        0          0          0          0          0          0          0          0          0          0          0          
PEN1-6Rb   19.0       2.0        24.0       0          2.0        7.0        31.0       1.0        8.0        0          12.0       9.0        0          5.0        7.0        0          33.0       22.0       32.0       36.0       31.0       60.0       5.0        2.0        15.0       7.0        1.0        2.0        0          0          0          0          0          0          0          0          0          
PEN1-6La   1.0        16.0       5.0        10.0       0          28.0       2.0        19.0       0          12.0       4.0        5.0        13.0       17.0       1.0        12.0       46.0       26.0       28.0       39.0       36.0       48.0       1.0        3.0        11.0       5.0        2.0        3.0        0          0          0          0          0          0          0          1.0        3.0        
PEN1-6Lb   2.0        14.0       6.0        13.0       23.0       0          2.0        16.0       0          3.0        0          2.0        8.0        10.0       0          9.0        41.0       40.0       38.0       45.0       37.0       60.0       4.0        2.0        10.0       9.0        3.0        2.0        0          0          0          0          2.0        0          0          1.0        1.0        
PEN1-7R    30.0       12.0       25.0       24.0       1.0        1.0        0          0          11.0       8.0        12.0       10.0       0          0          25.0       0          25.0       28.0       45.0       9.0        7.0        14.0       75.0       58.0       0          0          0          0          1.0        0          1.0        0          0          0          0          0          2.0        
PEN1-7L    5.0        36.0       1.0        2.0        19.0       15.0       0          1.0        10.0       26.0       0          0          6.0        16.0       0          23.0       22.0       9.0        8.0        54.0       34.0       35.0       0          0          72.0       81.0       0          1.0        0          3.0        3.0        1.0        2.0        0          0          1.0        0          
PEN2-5R    16.0       0          5.0        6.0        0          0          8.0        4.0        0          0          11.0       5.0        0          0          42.0       17.0       0          0          0          24.0       10.0       3.0        0          0          31.0       45.0       0          0          0          3.0        2.0        1.0        0          1.0        0          0          0          
PEN2-5L    0          16.0       0          0          12.0       6.0        2.0        12.0       0          0          0          0          6.0        6.0        14.0       35.0       3.0        7.0        33.0       1.0        0          0          60.0       41.0       0          0          0          0          2.0        0          1.0        1.0        1.0        0          0          0          1.0        
PEN2-6Ra   6.0        0          8.0        5.0        1.0        0          7.0        0          16.0       0          0          19.0       14.0       5.0        10.0       0          36.0       22.0       21.0       34.0       26.0       36.0       0          0          2.0        4.0        2.0        2.0        0          0          1.0        1.0        1.0        0          0          0          4.0        
PEN2-6Rb   8.0        0          14.0       9.0        0          3.0        12.0       0          9.0        0          29.0       0          7.0        9.0        8.0        1.0        38.0       21.0       17.0       20.0       27.0       32.0       0          0          0          1.0        3.0        2.0        0          0          1.0        0          0          0          0          0          0          
PEN2-6La   1.0        10.0       2.0        0          7.0        6.0        0          3.0        1.0        11.0       10.0       6.0        0          28.0       1.0        13.0       38.0       29.0       20.0       36.0       19.0       50.0       0          0          0          4.0        1.0        1.0        0          0          0          0          0          3.0        0          0          3.0        
PEN2-6Lb   0          7.0        4.0        1.0        8.0        14.0       0          5.0        1.0        12.0       13.0       5.0        26.0       0          2.0        15.0       34.0       27.0       19.0       28.0       32.0       46.0       0          0          0          2.0        4.0        4.0        0          0          2.0        1.0        1.0        0          0          0          1.0        
PEN2-7R    17.0       3.0        4.0        11.0       1.0        1.0        20.0       0          29.0       12.0       11.0       14.0       0          1.0        0          0          4.0        16.0       31.0       0          2.0        0          58.0       32.0       0          0          0          0          4.0        0          0          0          1.0        0          0          0          4.0        
PEN2-7L    0          16.0       1.0        0          9.0        7.0        0          21.0       12.0       35.0       1.0        0          8.0        8.0        0          0          1.0        0          0          23.0       9.0        9.0        0          0          40.0       69.0       0          0          0          4.0        2.0        2.0        3.0        1.0        0          0          0          
EPG-5Ra    6.0        4.0        28.0       15.0       11.0       25.0       3.0        6.0        5.0        0          27.0       26.0       34.0       35.0       0          0          1.0        21.0       15.0       22.0       7.0        48.0       0          1.0        0          0          111.0      11.0       0          0          2.0        0          1.0        0          1.0        0          3.0        
EPG-5Rb    10.0       10.0       33.0       16.0       22.0       26.0       9.0        6.0        7.0        0          37.0       35.0       28.0       37.0       1.0        0          29.0       1.0        39.0       6.0        6.0        27.0       1.0        1.0        0          0          86.0       5.0        3.0        0          0          1.0        0          3.0        0          2.0        1.0        
EPG-5Rc    11.0       15.0       26.0       17.0       19.0       27.0       11.0       2.0        11.0       12.0       13.0       11.0       20.0       12.0       8.0        0          29.0       25.0       0          5.0        3.0        9.0        4.0        4.0        0          0          94.0       1.0        3.0        0          1.0        0          1.0        2.0        0          0          4.0        
EPG-5La    8.0        10.0       12.0       9.0        17.0       17.0       0          6.0        11.0       22.0       26.0       21.0       22.0       35.0       0          8.0        21.0       3.0        1.0        2.0        33.0       29.0       0          0          2.0        4.0        4.0        106.0      0          1.0        1.0        2.0        0          1.0        1.0        0          1.0        
EPG-5Lb    8.0        20.0       18.0       21.0       17.0       17.0       0          12.0       1.0        16.0       45.0       35.0       33.0       35.0       0          0          15.0       6.0        5.0        43.0       1.0        35.0       0          0          3.0        3.0        22.0       117.0      0          1.0        1.0        2.0        1.0        0          1.0        1.0        3.0        
EPG-5Lc    5.0        17.0       24.0       14.0       18.0       25.0       4.0        5.0        0          17.0       22.0       17.0       22.0       30.0       0          0          35.0       15.0       7.0        44.0       34.0       1.0        0          0          0          0          14.0       84.0       0          4.0        0          0          1.0        0          0          0          1.0        
EPG-6Ra    0          28.0       14.0       2.0        0          2.0        31.0       0          0          34.0       7.0        9.0        0          0          24.0       0          0          0          4.0        0          0          1.0        1.0        27.0       0          0          0          0          90.0       0          1.0        0          0          1.0        0          4.0        0          
EPG-6Rb    0          16.0       13.0       6.0        0          1.0        17.0       0          0          29.0       3.0        7.0        0          0          19.0       0          0          0          0          0          0          0          25.0       0          0          0          1.0        0          67.0       0          1.0        1.0        0          1.0        0          4.0        2.0        
EPG-6La    23.0       0          0          0          3.0        0          0          22.0       26.0       0          0          0          4.0        7.0        0          36.0       0          0          0          0          2.0        0          0          0          1.0        37.0       0          2.0        0          107.0      1.0        1.0        1.0        1.0        1.0        3.0        1.0        
EPG-6Lb    24.0       0          2.0        3.0        10.0       1.0        0          26.0       42.0       0          0          0          8.0        13.0       0          45.0       0          0          0          10.0       2.0        2.0        0          0          29.0       0          0          2.0        0          115.0      0          2.0        2.0        0          2.0        0          0          
