          EPG-5Ra    EPG-5Rb    EPG-5Rc    EPG-5La    EPG-5Lb    EPG-5Lc    EPG-6Ra    EPG-6Rb    EPG-6La    EPG-6Lb    PEG-5R     PEG-5L     PEG-6R     PEG-6L     GE-r1      NO-LAL-G   
EPG-5Ra    1.0        21.0       15.0       22.0       7.0        48.0       0          1.0        0          0          111.0      11.0       0          0          34.0       8.0        
EPG-5Rb    29.0       1.0        39.0       6.0        6.0        27.0       1.0        1.0        0          0          86.0       5.0        3.0        0          39.0       12.0       
EPG-5Rc    29.0       25.0       0          5.0        3.0        9.0        4.0        4.0        0          0          94.0       1.0        3.0        0          163.0      4.0        
EPG-5La    21.0       3.0        1.0        2.0        33.0       29.0       0          0          2.0        4.0        4.0        106.0      0          1.0        10.0       0          
EPG-5Lb    15.0       6.0        5.0        43.0       1.0        35.0       0          0          3.0        3.0        22.0       117.0      0          1.0        9.0        0          
EPG-5Lc    35.0       15.0       7.0        44.0       34.0       1.0        0          0          0          0          14.0       84.0       0          4.0        21.0       0          
EPG-6Ra    0          0          4.0        0          0          1.0        1.0        27.0       0          0          0          0          90.0       0          18.0       8.0        
EPG-6Rb    0          0          0          0          0          0          25.0       0          0          0          1.0        0          67.0       0          17.0       8.0        
EPG-6La    0          0          0          0          2.0        0          0          0          1.0        37.0       0          2.0        0          107.0      0          0          
EPG-6Lb    0          0          0          10.0       2.0        2.0        0          0          29.0       0          0          2.0        0          115.0      3.0        0          
PEG-5R     6.0        2.0        4.0        2.0        2.0        5.0        0          0          1.0        0          0          4.0        1.0        0          2.0        0          
PEG-5L     0          1.0        0          2.0        6.0        3.0        0          0          0          1.0        6.0        0          0          0          6.0        0          
PEG-6R     0          0          2.0        0          0          0          1.0        2.0        0          0          0          0          0          0          2.0        4.0        
PEG-6L     0          0          0          0          1.0        0          0          0          1.0        6.0        0          1.0        0          0          0          0          
GE-r1      19.0       22.0       65.0       7.0        7.0        13.0       14.0       4.0        0          0          0          2.0        0          0          5.0        0          
NO-LAL-G   0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          1.0        
