          PEN1-5R    PEN1-5L    PEN1-6Ra   PEN1-6Rb   PEN1-6La   PEN1-6Lb   PEN1-7R    PEN1-7L    PEN2-5R    PEN2-5L    PEN2-6Ra   PEN2-6Rb   PEN2-6La   PEN2-6Lb   PEN2-7R    PEN2-7L    NO-LAL-G   
PEN1-5R    0          0          32.0       25.0       0          1.0        36.0       8.0        30.0       0          11.0       6.0        4.0        0          18.0       8.0        61.0       
PEN1-5L    0          0          4.0        1.0        17.0       14.0       12.0       37.0       0          26.0       0          1.0        5.0        12.0       10.0       13.0       0          
PEN1-6Ra   31.0       3.0        0          26.0       5.0        6.0        23.0       0          9.0        0          13.0       16.0       5.0        6.0        9.0        0          33.0       
PEN1-6Rb   19.0       2.0        24.0       0          2.0        7.0        31.0       1.0        8.0        0          12.0       9.0        0          5.0        7.0        0          40.0       
PEN1-6La   1.0        16.0       5.0        10.0       0          28.0       2.0        19.0       0          12.0       4.0        5.0        13.0       17.0       1.0        12.0       0          
PEN1-6Lb   2.0        14.0       6.0        13.0       23.0       0          2.0        16.0       0          3.0        0          2.0        8.0        10.0       0          9.0        0          
PEN1-7R    30.0       12.0       25.0       24.0       1.0        1.0        0          0          11.0       8.0        12.0       10.0       0          0          25.0       0          67.0       
PEN1-7L    5.0        36.0       1.0        2.0        19.0       15.0       0          1.0        10.0       26.0       0          0          6.0        16.0       0          23.0       0          
PEN2-5R    16.0       0          5.0        6.0        0          0          8.0        4.0        0          0          11.0       5.0        0          0          42.0       17.0       13.0       
PEN2-5L    0          16.0       0          0          12.0       6.0        2.0        12.0       0          0          0          0          6.0        6.0        14.0       35.0       0          
PEN2-6Ra   6.0        0          8.0        5.0        1.0        0          7.0        0          16.0       0          0          19.0       14.0       5.0        10.0       0          8.0        
PEN2-6Rb   8.0        0          14.0       9.0        0          3.0        12.0       0          9.0        0          29.0       0          7.0        9.0        8.0        1.0        9.0        
PEN2-6La   1.0        10.0       2.0        0          7.0        6.0        0          3.0        1.0        11.0       10.0       6.0        0          28.0       1.0        13.0       0          
PEN2-6Lb   0          7.0        4.0        1.0        8.0        14.0       0          5.0        1.0        12.0       13.0       5.0        26.0       0          2.0        15.0       0          
PEN2-7R    17.0       3.0        4.0        11.0       1.0        1.0        20.0       0          29.0       12.0       11.0       14.0       0          1.0        0          0          7.0        
PEN2-7L    0          16.0       1.0        0          9.0        7.0        0          21.0       12.0       35.0       1.0        0          8.0        8.0        0          0          0          
NO-LAL-G   167.0      0          117.0      107.0      0          0          146.0      0          115.0      0          68.0       60.0       0          0          111.0      0          1.0        
